Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
03-04-2000,EQ,739.9,800.8,721.05,741.45,792.75,797,772.76,1140.8,580,1720025,1329164700,
04-04-2000,EQ,785,785,733.25,797,733.25,733.25,744.37,1140.8,580,581309,432706684.6,
05-04-2000,EQ,680,740,675.05,733.25,696.1,698.75,700.53,1140.8,580,706269,494763659.2,
06-04-2000,EQ,705,711,646.1,698.75,685,682.8,676.06,1140.8,580,431386,291642272.4,
07-04-2000,EQ,682,733.9,682,682.8,730,730.95,722.23,1140.8,580,1087357,785318069.2,
10-04-2000,EQ,735,771.8,725,730.95,730.1,736,752.45,1140.8,580,1461248,1099514623,
11-04-2000,EQ,726.1,728,703,736,723,717,712.56,1140.8,580,479431,341623590.5,
12-04-2000,EQ,725,739.6,715,717,717,721.85,724.76,1140.8,580,353802,256423260.1,
13-04-2000,EQ,701.55,701.55,680,721.85,689,685.65,689.26,1140.8,580,402330,277309069,
17-04-2000,EQ,680,680,630.8,685.65,630.8,630.8,632.57,1140.8,580,323927,204907623.2,
18-04-2000,EQ,630.8,647.25,580.35,630.8,580.35,580.7,598.34,1140.8,580,688991,412250457.5,
19-04-2000,EQ,619,619,558,580.7,582,582.2,583.74,1140.8,580,756996,441885443.6,
20-04-2000,EQ,571.5,584.95,542.65,582.2,571,575.7,563.24,1140.8,558,918435,517303104.3,
24-04-2000,EQ,575,575,529.65,575.7,529.65,530.95,539.98,1140.8,542.65,624758,337358534.6,
25-04-2000,EQ,500.7,526,489.8,530.95,519.1,513.6,502.87,1140.8,529.65,873486,439251973.3,
26-04-2000,EQ,529.8,554.7,529.8,513.6,554.7,554.7,546.8,1140.8,489.8,304309,166397309.2,
27-04-2000,EQ,594,594,554.7,554.7,569,574.95,574.93,1140.8,489.8,947651,544830234.5,
28-04-2000,EQ,575,584.9,561,574.95,569.9,569.2,570.6,1140.8,489.8,357585,204038259.9,
02-05-2000,EQ,565,574,525,569.2,533,527.95,538.35,1140.8,489.8,433751,233511172.8,
03-05-2000,EQ,502,544.5,495.1,527.95,528,525.7,518.07,1140.8,489.8,582541,301798382.9,
04-05-2000,EQ,530,557,520,525.7,549.9,549.15,545,1140.8,489.8,513933,280095249.8,
05-05-2000,EQ,553.8,573,549,549.15,563,564.4,560.35,1140.8,489.8,641020,359196251.9,
08-05-2000,EQ,572,593.1,519.25,564.4,519.25,520.35,543.87,1140.8,489.8,485042,263797688.8,
09-05-2000,EQ,506.3,541,500,520.35,530.05,529.1,522.97,1140,489.8,434331,227143462.5,
10-05-2000,EQ,535,555.45,519,529.1,535,533,535.17,1140,489.8,1119290,599008065.9,
11-05-2000,EQ,530,545.5,515,533,535,533.25,534.61,1140,489.8,564757,301923241.7,
12-05-2000,EQ,539.9,568.4,531,533.25,553,559.45,546.43,1140,489.8,1340982,732759485.7,
15-05-2000,EQ,552,590,536,559.45,583,580.45,563.73,1140,489.8,873242,492271341.3,
16-05-2000,EQ,585.2,634.8,585.2,580.45,619.9,625.8,614.16,1140,489.8,1344438,825701883.6,
17-05-2000,EQ,635,640,613,625.8,618,618.55,624.74,1140,489.8,1214993,759048876.7,
18-05-2000,EQ,610.05,625,595,618.55,609,604.7,607.79,1140,489.8,748001,454626948.5,
19-05-2000,EQ,597.05,622,595.1,604.7,619.1,619.05,610.92,1140,489.8,560732,342564712.5,
22-05-2000,EQ,615,637.8,611.25,619.05,626,628.45,629.48,1140,489.8,716805,451215177.3,
23-05-2000,EQ,630.55,650,627.25,628.45,641,643.1,639.04,1130.8,489.8,767879,490709162.4,
24-05-2000,EQ,640,659,602,643.1,605.1,624.95,640.2,1130.8,489.8,1112766,712389006,
25-05-2000,EQ,614,669,614,624.95,660.1,654.55,643.16,1130.8,489.8,1935146,1244607163,
26-05-2000,EQ,659.9,679,645.15,654.55,665.5,671.8,663.61,1130.8,489.8,1499290,994946375.5,
29-05-2000,EQ,670,680,660,671.8,669.5,670.5,671.19,1130.8,489.8,783797,526079476.2,
30-05-2000,EQ,673,749,668,670.5,748.5,739.15,701.25,1125,489.8,1576933,1105829893,
31-05-2000,EQ,770,789,709,739.15,724.15,725.6,737.11,1125,489.8,2962904,2183974932,
01-06-2000,EQ,715.35,733,691.1,725.6,696.9,695.65,710.74,1125,489.8,1190649,846237948.2,
02-06-2000,EQ,703,719,686.05,695.65,697,696.5,703.02,1125,489.8,1238952,871002888,
05-06-2000,EQ,709.9,724,661,696.5,667,665.1,690.69,1125,489.8,1418460,979723058.4,
06-06-2000,EQ,661,679.85,650.1,665.1,665.25,667.95,666.79,1125,489.8,995484,663783742.6,
07-06-2000,EQ,669,699.85,665,667.95,685.9,688.25,688.11,1125,489.8,883056,607638586.4,
08-06-2000,EQ,694.95,712.95,690.05,688.25,704.9,707.6,703.11,1125,489.8,921591,647982014.5,
09-06-2000,EQ,702,721,691,707.6,699.9,699.5,707.24,1125,489.8,857393,606379218.6,
12-06-2000,EQ,703,703,681.5,699.5,688,688.25,691.72,1125,489.8,408080,282278980.5,
