Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
30-10-2014,EQ,353.1,357.75,351.5,354.45,354.65,354.9,355.09,387.5,307.55,9903102,3516512372,91836
31-10-2014,EQ,356.85,360,352.25,354.9,354.7,355.2,356.37,387.5,307.55,9849506,3510062976,136371
03-11-2014,EQ,356.9,357.65,353.2,355.2,355.5,355.45,355.22,387.5,307.55,4960915,1762228629,62037
05-11-2014,EQ,355.7,359.8,355.5,355.45,359,359.15,358,387.5,307.55,5061240,1811929607,92766
07-11-2014,EQ,358.35,360.5,353,359.15,355.45,355.65,355.31,387.5,307.55,6223477,2211257331,106071
10-11-2014,EQ,356,372.5,355.7,355.65,370.15,371.7,366.93,387.5,307.55,15722909,5769239090,137149
11-11-2014,EQ,370.3,372.2,362.55,371.7,364.75,364.1,365.99,387.5,307.55,4810325,1760513175,45691
12-11-2014,EQ,364.25,370,364.15,364.1,369.1,369.5,367.15,387.5,307.55,4430801,1626780495,44881
13-11-2014,EQ,370.85,370.85,366.35,369.5,368.7,368.35,368.2,387.5,307.55,3234646,1190994071,27059
14-11-2014,EQ,368.1,370.65,367.35,368.35,368.7,369.2,369.39,387.5,307.55,4986636,1841991414,53315
17-11-2014,EQ,369,371.45,364.6,369.2,370.3,370.2,368.27,387.5,307.55,3992053,1470147783,41190
18-11-2014,EQ,369.25,371.7,367.5,370.2,370.3,370.25,369.81,387.5,307.55,6357811,2351151638,97510
19-11-2014,EQ,370.25,377.25,366.6,370.25,368.3,367.85,372.18,387.5,307.55,8479276,3155795720,83773
20-11-2014,EQ,369,371.4,368.1,367.85,370,370.05,369.8,387.5,307.55,3375416,1248219081,39073
21-11-2014,EQ,370.15,376.7,369.55,370.05,375.15,376.15,374.49,387.5,307.55,4430991,1659355096,59109
24-11-2014,EQ,372,375.95,372,376.15,374.6,374.95,374.52,387.5,307.55,5716266,2140835846,55876
25-11-2014,EQ,374.2,378.8,348.65,374.95,356.15,355.4,359.54,387.5,307.55,16808769,6043484738,128155
26-11-2014,EQ,358.5,366.3,358.1,355.4,363.4,363.4,362.4,387.5,307.55,14294417,5180226548,206218
27-11-2014,EQ,362.15,363.45,355.25,363.4,360.3,360.6,359.01,387.5,307.55,10650366,3823552970,120182
28-11-2014,EQ,360.6,366,360,360.6,362.7,363.15,362.77,387.5,307.55,6975664,2530570655,84377
01-12-2014,EQ,362.15,366.95,362.15,363.15,363.85,364.6,364.9,387.5,307.55,5477924,1998915107,106354
02-12-2014,EQ,364.4,366.9,363.6,364.6,366.45,365.8,365.29,387.5,307.55,5728959,2092708839,66051
03-12-2014,EQ,366,366,357.1,365.8,364.5,363.25,361.28,387.5,307.55,5241220,1893546367,64066
04-12-2014,EQ,373.05,384,373.05,363.25,383.05,383.15,380.58,387.5,307.55,17783568,6768099835,136573
05-12-2014,EQ,383,392,382.65,383.15,390.4,391.35,387.89,392,307.55,10854436,4210352470,98017
08-12-2014,EQ,393.2,399.7,392.3,391.35,397.7,397.8,396.47,399.7,310.35,10054410,3986295837,105479
09-12-2014,EQ,398.5,400,391.8,397.8,395,394.35,394.76,400,310.35,9253845,3653031743,101809
10-12-2014,EQ,395.75,396.5,386.35,394.35,394.6,395,391.31,400,310.35,6194545,2424012598,74213
11-12-2014,EQ,395,398.95,390.5,395,395.95,396.6,394.72,400,310.35,7205820,2844286828,67436
12-12-2014,EQ,396,400.3,393,396.6,395.85,395.7,396.82,400.3,310.35,5804398,2303322049,72325
15-12-2014,EQ,395,399.7,391.45,395.7,392.25,392.55,393.71,400.3,310.35,5714519,2249855574,75514
16-12-2014,EQ,389,390,377.9,392.55,379.95,380.6,382.18,400.3,310.35,9033696,3452519643,79997
17-12-2014,EQ,377.55,384.7,366.6,380.6,369.95,371.8,373.71,400.3,310.35,10429075,3897421798,122323
